Timestamp,SYS_POWER,PSU_PIN_01,PSU_PIN_02,PSU_POUT_01,PSU_POUT_02
2025-10-23 16:11:02, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:11:12, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:11:22, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:11:32, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:11:42, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:11:52, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:02, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:12, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:22, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:32, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 580 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:42, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
2025-10-23 16:12:52, 570 (+/- 15) Watts, 600 (+/- 10) Watts, 0 (+/- 10) Watts, 570 (+/- 10) Watts, 0 (+/- 10) Watts
